(2703654996517, 3306639218023)
(2703654996517, 3306639218023)
(3306639218023, 3930395453270)
(3930395453270, 4584257776802)
(4373362882884, 4584257776802)
(4373362882884, 4819235740505)
(4584257776802, 4819235740505)
(5724369079693, 6135933227448)
(5724369079693, 6316885185595)
(6316885185595, 6953984944598)
(6599865270709, 7145917173963)
(7379548891723, 7944884099945)
(8513370735670, 8575156596103)
(13182740949771, 13182740949771)
(13182740949772, 19454672582171)
(21015643582719, 28044145932231)
(23596951358270, 26954971819183)
(31171521918398, 39458668730077)
(31171521918398, 39458668730077)
(42498051344930, 48945054633932)
(45564468152441, 48945054633932)
(52694621956718, 55968379665892)
(55968379665893, 58073159086260)
(60533283512083, 61970160746666)
(61686926667835, 62906229087727)
(62593246885939, 64156982854998)
(63411197693248, 65117858037564)
(64407576571743, 66059971479062)
(65768672437504, 67046115765011)
(66771062458750, 68245200182546)
(67429677399311, 69082415485208)
(68455412202170, 69957877152983)
(71666087391467, 76339056167338)
(74707987153291, 79866592379297)
(82337398865525, 84866696711794)
(84866696711796, 89586048500593)
(94582609025350, 94582609025350)
(94582609025350, 96408549816850)
(102813354819910, 105862535842602)
(102813354819910, 107681928813023)
(112230401204917, 119380991717092)
(119380991717092, 119380991717092)
(123082224652118, 129457657497702)
(132251468956482, 138324788786380)
(138324788786381, 138324788786381)
(144157403255937, 148826733249743)
(152762544827563, 152762544827563)
(152762544827564, 159961497448295)
(161412573402353, 162239632532404)
(161918056568763, 162544662273724)
(163021985276507, 163496364809087)
(163280894543189, 163950752859283)
(164803984043794, 165472030129438)
(165037783929704, 165472030129438)
(165037783929704, 165794328512600)
(166511892237309, 166745259663424)
(166745259663424, 167532321619358)
(167037843702903, 167796085096689)
(169446245572059, 169995728172020)
(169995728172020, 170320985638205)
(172382858968667, 175549668599715)
(175549668599716, 178010517690690)
(183723050133280, 190207056062812)
(185948444441404, 190207056062812)
(191384222860954, 192574066920231)
(192412835698563, 193680562533418)
(193459994123666, 194942890985011)
(194303127336385, 195622353802125)
(195159967580933, 196906860747529)
(196221520000946, 197646255003404)
(197287147242137, 198847162307716)
(198430256027711, 199620635574445)
(199439612858395, 200671984757445)
(202245072059218, 208353226613654)
(208353226613654, 208353226613654)
(215558815637109, 219523079891389)
(215558815637109, 219523079891389)
(224184456364375, 228554233328876)
(228554233328877, 228554233328877)
(231920302229762, 237452178963140)
(235320247501111, 240576105435674)
(242426022007059, 245150117854811)
(245150117854813, 250506215767210)
(252024217233070, 256193968190447)
(252024217233070, 259490407335421)
(263563419616610, 263563419616610)
(263563419616610, 270428636117884)
(271933881210423, 280728899078659)
(275802197128569, 278350309208397)
(281828242995243, 283738942173960)
(283178468389809, 284974632848406)
(284198501252161, 286340596090708)
(285577292780802, 287430881365470)
(286738955255045, 288704258417768)
(288323334858203, 290009320154692)
(289387002124438, 290996017773384)
(294259534783904, 297036663343596)
(294259534783904, 298938797327022)
(303476382960027, 309559880706003)
(305029727857916, 308616862344215)
(314656092924165, 319436096893084)
(314656092924165, 319436096893084)
(323315503931010, 331285131802790)
(326273021125655, 331285131802790)
(331840328131613, 332640860125206)
(332455900728442, 333096484571889)
(332640860125206, 333096484571889)
(333096484571889, 333273537787731)
(333558033766180, 334293309198190)
(333854835738754, 334293309198190)
(334293309198190, 334530880199037)
(335197668166498, 335368542384241)
(335197668166498, 335875887464422)
(335623292192772, 336430907563365)
(336091165735748, 336676477368893)
(336920064813755, 337708674914505)
(337444595663269, 338226582597653)
(337708674914505, 338451964865987)
(338451964865987, 338711085526296)
(338711085526296, 339109695965448)
(339944115182227, 340470721373135)
(340113235854807, 340470721373135)
(344365319178800, 349685437215593)
(353266958685101, 357300529017225)
(357300529017227, 360967590727082)
(364835740149012, 365616715057774)
(365616715057775, 370913555893268)
(373655247232868, 377779814566958)
(377779814566959, 377779814566959)
(384124039430243, 387954179293559)
(385570619940629, 389862453271809)
(393218184940494, 400293238294979)
(400293238294979, 400293238294979)
(403687109137424, 403687109137424)
(403687109137425, 410679383395921)
(414026322933322, 414026322933322)
(414026322933322, 417773238903645)
(422402841811995, 423720547181817)
(423409765218177, 424658505776812)
(424267288659547, 425779968265074)
(425074241640930, 426658954682581)
(426207405717689, 427648936982125)
(426835628929327, 428335796984319)
(428033148159488, 429288313248500)
(429011588092586, 430238234024131)
(429930894463301, 431264808072131)
(430836255860495, 431949789265124)
(432638740795720, 436490339366447)
(436490339366448, 441801088217370)
(446400770323713, 450677603560962)
(453708366053063, 460582608125924)
(456515522309849, 458870651316671)
(463886641420035, 471102575698060)
(467243958843169, 471102575698060)
(474688005170000, 474688005170000)
(474688005170000, 480837552765153)
(485196483140844, 490325175216718)
(485196483140844, 490325175216718)
(495520332064751, 497729704074856)
(495520332064751, 499912550957722)
(504826913046504, 509998808259597)
(509998808259597, 509998808259597)
(514140747509962, 514392156555684)
(514392156555684, 514727961098894)
(514587451888060, 515391128535079)
(516289151419788, 516661487097711)
(516749000112063, 517271743622294)
(516749000112063, 517518453880947)
(516749000112063, 517518453880947)
(518688586548662, 519177123847009)
(519177123847009, 519253827192123)
(519253827192123, 519504511287003)
(520130685209492, 520377675016360)
(521013640249556, 521290786341304)
(526346158451773, 526346158451773)
(526346158451774, 528748135312066)
(534772392063868, 539851121304605)
(536003082526789, 542384396650947)
(544417051981776, 551568311547549)
(551568311547550, 551568311547550)
(554752091273827, 558601829106238)
(558601829106240, 562068246267502)
